Thu, 21 Aug 2014 15:35:11 -0500;9fgj2c8b10ugvcubd8t063f4k0;fisica;fisica;0302150
Thu, 11 Sep 2014 16:44:49 -0500;u8g3krrslr20oogs6hpvcif455;fisica;fisica;0302150;Edita
Thu, 11 Sep 2014 16:53:13 -0500;u8g3krrslr20oogs6hpvcif455;fisica;fisica;0302150;Edita
Wed, 22 Oct 2014 16:21:36 -0500;2fl4fc2odhkaq72r45otud5qr3;fisica;bernardo arenas;0302150;Edita
Wed, 22 Oct 2014 16:21:59 -0500;2fl4fc2odhkaq72r45otud5qr3;fisica;bernardo arenas;0302150;Desbloquea
Wed, 22 Oct 2014 16:25:56 -0500;2fl4fc2odhkaq72r45otud5qr3;fisica;bernardo arenas;0302150;Guardar
Wed, 22 Oct 2014 16:26:53 -0500;2fl4fc2odhkaq72r45otud5qr3;fisica;bernardo arenas;0302150;Guardar
Wed, 22 Oct 2014 16:27:40 -0500;2fl4fc2odhkaq72r45otud5qr3;fisica;bernardo arenas;0302150;Edita
Wed, 22 Oct 2014 16:30:21 -0500;2fl4fc2odhkaq72r45otud5qr3;fisica;bernardo arenas;0302150;Edita
Wed, 22 Oct 2014 16:31:23 -0500;2fl4fc2odhkaq72r45otud5qr3;fisica;bernardo arenas;0302150;Guardar
Thu, 20 Nov 2014 10:48:52 -0500;999u6rvusb5msldlia9als40c4;fisica;bernardo arenas;0302150;Edita
Fri, 13 Feb 2015 16:18:23 +0000;ef02mnmre41d6ke46cuefian36;admin;Jorge Zuluaga;0302150;Edita
Fri, 13 Feb 2015 17:10:12 +0000;ef02mnmre41d6ke46cuefian36;admin;Jorge Zuluaga;0302150;Edita
Fri, 13 Feb 2015 17:12:43 +0000;ef02mnmre41d6ke46cuefian36;admin;Jorge Zuluaga;0302150;Edita
Fri, 13 Feb 2015 17:26:20 +0000;ef02mnmre41d6ke46cuefian36;admin;Jorge Zuluaga;0302150;Edita
Fri, 13 Feb 2015 17:34:24 +0000;ef02mnmre41d6ke46cuefian36;fisica;Jorge Zuluaga;0302150;Edita
